"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"JAJHLMMC_01864" 101.036525480052 5.60221855529569 0.437372510888375 12.8088035160615 1.46374130094509e-37 4.71175119501303e-37
"JAJHLMMC_02694" 478.314818220062 5.61580660690723 0.205818137388254 27.2852853405898 6.34127311486583e-164 5.89623798361169e-163
"JAJHLMMC_03113" 3055.18804020657 5.64315308114351 0.104419972248132 54.0428517614785 0 0
"JAJHLMMC_02032" 9776.79401216057 5.6506176603242 0.0919443760116404 61.4569145546087 0 0
"JAJHLMMC_00625" 327.98004020277 5.67984203886107 0.249837709315813 22.7341263030928 2.06033202537104e-114 1.43572121045608e-113
"JAJHLMMC_00664" 2197.73471214836 5.69133188532681 0.108227983053996 52.5865097429318 0 0
"JAJHLMMC_01909" 57.7544588728073 5.69162407605669 0.584738383070494 9.73362488395179 2.1672906029816e-22 5.48395581262639e-22
"JAJHLMMC_00618" 120.804609960392 5.75548634929365 0.414105362441273 13.8986037644221 6.45890399642587e-44 2.29707795356759e-43
"JAJHLMMC_03100" 32184.9921630333 5.799711346514 0.0852337371626503 68.0447853113198 0 0
"JAJHLMMC_00626" 111.407968531487 5.86345661286482 0.444923817093403 13.1785631328293 1.16590239036182e-39 3.87420955763933e-39
"JAJHLMMC_01263" 15261.3102975304 5.9439214238519 0.074761649164045 79.504953279047 0 0
"JAJHLMMC_01242" 4755.39903879668 5.95443162402064 0.0987042826944993 60.3259702767941 0 0
"JAJHLMMC_00623" 477.008134538161 5.96274954046258 0.226199059156084 26.3606292736528 3.87689467521132e-153 3.39036086752899e-152
"JAJHLMMC_00617" 192.620155143818 5.99207246169609 0.353756661516727 16.9384017703162 2.34406929735566e-64 1.06727756945973e-63
"JAJHLMMC_01244" 9735.56675179719 6.0068475848066 0.0865075362955556 69.4372749708652 0 0
"JAJHLMMC_01914" 31.3313811845567 6.03614630904678 0.877476495976471 6.87898346761943 6.02811549603568e-12 1.20601377422308e-11
"JAJHLMMC_00619" 181.326589263583 6.06565364709671 0.371796702408621 16.3144363782718 7.79220752873314e-60 3.36898384330521e-59
"JAJHLMMC_00842" 224.849752051387 6.07092209788883 0.341326297748594 17.7862711954307 9.02921481545855e-71 4.396401598631e-70
"JAJHLMMC_00666" 921.045581291394 6.10868943891868 0.182620773021874 33.4501346031811 2.56217471837913e-245 3.71334899325651e-244
"JAJHLMMC_01241" 2438.72770087711 6.10939739112923 0.11606134376935 52.6393818364751 0 0
"JAJHLMMC_00616" 138.805585876703 6.18294420466051 0.441417912504192 14.0070079385412 1.41230865081697e-44 5.11113341743492e-44
"JAJHLMMC_01906" 100.477076313605 6.30232273326475 0.538481365153326 11.7038826988381 1.21752384064081e-31 3.56255554128739e-31
"JAJHLMMC_01911" 7.00341335690653 6.33840242872497 1.31644751368841 4.81477792530147 1.47363677711972e-06 2.50916532320385e-06
"JAJHLMMC_00621" 142.815308402832 6.35452853222975 0.458490063945769 13.859686461998 1.11158738241211e-43 3.94421867759332e-43
"JAJHLMMC_02022" 10198.0198107258 6.41609887545824 0.0837135557894654 76.6434876042579 0 0
