"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"JAJHLMMC_01556" 831.906009676756 -6.08104099836199 0.196446300079674 -30.9552330377088 2.1603473427964e-210 2.61529107733823e-209
"JAJHLMMC_02698" 8813.84094852972 -6.05080338007858 0.10304431484326 -58.7203999491136 0 0
"JAJHLMMC_00506" 11860.1701576155 -5.72448234815007 0.0869548054221019 -65.8328463891317 0 0
"JAJHLMMC_00505" 16640.4919673774 -5.66146189303407 0.0761143725070974 -74.3809835981523 0 0
"JAJHLMMC_02699" 8193.50689258723 -5.51970105575625 0.0720440408897023 -76.6156504770017 0 0
"JAJHLMMC_00504" 17925.9909877447 -5.51477139218805 0.0694164600765532 -79.4447222763349 0 0
"JAJHLMMC_02697" 5485.97576031511 -5.43592885644673 0.0848135961483037 -64.0926585277855 0 0
"JAJHLMMC_00501" 8072.39968866068 -5.37715603304321 0.0962205197761484 -55.8836726880384 0 0
"JAJHLMMC_00150" 2340.71690496872 -5.29200347297863 0.113290660372958 -46.7117364799277 0 0
"JAJHLMMC_00503" 19456.2328110082 -5.26690116135293 0.0770083522711367 -68.3938950259426 0 0
"JAJHLMMC_00502" 10158.6275387009 -5.25772748964569 0.0896498162229599 -58.647387258103 0 0
"JAJHLMMC_00500" 27134.6357537988 -5.23770001383746 0.0623441057581188 -84.0127538946274 0 0
"JAJHLMMC_02851" 1409.15385170422 -5.15932953946844 0.126740548415311 -40.707805070892 0 0
"JAJHLMMC_01034" 3.3877775534297 -5.11528728658893 1.48106923799265 -3.45377998230649 0.000552788162103988 0.000839791858471955
"JAJHLMMC_02852" 2894.47720758238 -5.01199498413723 0.0972610692288694 -51.5313580641734 0 0
"JAJHLMMC_01677" 1839.13546730753 -4.95137855343252 0.107582204097107 -46.0241412135716 0 0
"JAJHLMMC_00499" 13869.8142895859 -4.88963110467751 0.073248081828411 -66.7543911406694 0 0
"JAJHLMMC_00498" 13921.2686406326 -4.87820304723478 0.0749800445421876 -65.0600179957223 0 0
"JAJHLMMC_01471" 5160.61282238598 -4.80200010231149 0.0726596876079338 -66.0889175332369 0 0
"JAJHLMMC_00507" 18296.9488805862 -4.49795511073326 0.07129819918048 -63.0865177863385 0 0
